dataset_id,objective,edit_budget,protected_positions,forbidden_residues,n_candidates
GFP_AEQVI_Sarkisyan_2016,fragility_aware,5,"13,16,18,22,23,24,27,29,33,35,40,44,48,51,53,54,55,59,60,61,65,66,67,69,70,74,82,83,85,88,91,92,94,96,98,100,106,109,110,112,121,123,125,127,141,169,181,183,199,201,207,210,213,216,217,218,220,222",,25446
GFP_AEQVI_Sarkisyan_2016,motif_avoidance,5,,C,38595
HIS7_YEAST_Pokusaeva_2019,novelty,1,,,65
HIS7_YEAST_Pokusaeva_2019,fragility_aware,1,"66,82,178",,59
HIS7_YEAST_Pokusaeva_2019,motif_avoidance,1,,C,62
HIS7_YEAST_Pokusaeva_2019,novelty,2,,,677
HIS7_YEAST_Pokusaeva_2019,fragility_aware,2,"66,82,178",,598
HIS7_YEAST_Pokusaeva_2019,motif_avoidance,2,,C,632
HIS7_YEAST_Pokusaeva_2019,novelty,3,,,3718
HIS7_YEAST_Pokusaeva_2019,fragility_aware,3,"66,82,178",,3057
HIS7_YEAST_Pokusaeva_2019,motif_avoidance,3,,C,3449
HIS7_YEAST_Pokusaeva_2019,novelty,5,,,38446
HIS7_YEAST_Pokusaeva_2019,fragility_aware,5,"66,82,178",,29684
HIS7_YEAST_Pokusaeva_2019,motif_avoidance,5,,C,33915
PHOT_CHLRE_Chen_2023,novelty,1,,,2122
PHOT_CHLRE_Chen_2023,fragility_aware,1,"8,9,10,11,18,19,22,23,26,30,31,32,37,41,42,43,45,47,50,58,72,74,82,84,86,88,90,101,103,105",,1630
PHOT_CHLRE_Chen_2023,motif_avoidance,1,,C,2009
PHOT_CHLRE_Chen_2023,novelty,2,,,2298
PHOT_CHLRE_Chen_2023,fragility_aware,2,"8,9,10,11,18,19,22,23,26,30,31,32,37,41,42,43,45,47,50,58,72,74,82,84,86,88,90,101,103,105",,1806
PHOT_CHLRE_Chen_2023,motif_avoidance,2,,C,2152
PHOT_CHLRE_Chen_2023,novelty,3,,,3276
PHOT_CHLRE_Chen_2023,fragility_aware,3,"8,9,10,11,18,19,22,23,26,30,31,32,37,41,42,43,45,47,50,58,72,74,82,84,86,88,90,101,103,105",,2784
PHOT_CHLRE_Chen_2023,motif_avoidance,3,,C,2871
PHOT_CHLRE_Chen_2023,novelty,5,,,16444
PHOT_CHLRE_Chen_2023,fragility_aware,5,"8,9,10,11,18,19,22,23,26,30,31,32,37,41,42,43,45,47,50,58,72,74,82,84,86,88,90,101,103,105",,15952
PHOT_CHLRE_Chen_2023,motif_avoidance,5,,C,10999
Q6WV12_9MAXI_Somermeyer_2022,novelty,1,,,1141
Q6WV12_9MAXI_Somermeyer_2022,fragility_aware,1,"6,8,25,27,32,34,36,47,49,53,54,55,56,57,58,59,60,61,63,64,73,74,83,85,87,89,91,97,101,103,110,112,114,122,135,136,138,140,141,152,154,156,163,170,172,176,190,192,195,197,199,208,210,212",,865
Q6WV12_9MAXI_Somermeyer_2022,motif_avoidance,1,,C,1079
Q6WV12_9MAXI_Somermeyer_2022,novelty,2,,,17133
Q6WV12_9MAXI_Somermeyer_2022,fragility_aware,2,"6,8,25,27,32,34,36,47,49,53,54,55,56,57,58,59,60,61,63,64,73,74,83,85,87,89,91,97,101,103,110,112,114,122,135,136,138,140,141,152,154,156,163,170,172,176,190,192,195,197,199,208,210,212",,10409
Q6WV12_9MAXI_Somermeyer_2022,motif_avoidance,2,,C,15099
Q6WV12_9MAXI_Somermeyer_2022,novelty,3,,,25895
Q6WV12_9MAXI_Somermeyer_2022,fragility_aware,3,"6,8,25,27,32,34,36,47,49,53,54,55,56,57,58,59,60,61,63,64,73,74,83,85,87,89,91,97,101,103,110,112,114,122,135,136,138,140,141,152,154,156,163,170,172,176,190,192,195,197,199,208,210,212",,14474
Q6WV12_9MAXI_Somermeyer_2022,motif_avoidance,3,,C,22328
Q6WV12_9MAXI_Somermeyer_2022,novelty,5,,,30770
Q6WV12_9MAXI_Somermeyer_2022,fragility_aware,5,"6,8,25,27,32,34,36,47,49,53,54,55,56,57,58,59,60,61,63,64,73,74,83,85,87,89,91,97,101,103,110,112,114,122,135,136,138,140,141,152,154,156,163,170,172,176,190,192,195,197,199,208,210,212",,16012
Q6WV12_9MAXI_Somermeyer_2022,motif_avoidance,5,,C,26008
Q8WTC7_9CNID_Somermeyer_2022,novelty,1,,,1201
Q8WTC7_9CNID_Somermeyer_2022,fragility_aware,1,"8,16,27,29,35,40,42,55,56,59,61,62,63,65,66,67,68,69,70,72,74,82,83,84,85,89,92,94,96,100,103,104,108,110,112,121,127,143,145,146,148,150,152,161,165,168,170,179,181,183,185,196,203,205,217,218,222,224,226",,928
Q8WTC7_9CNID_Somermeyer_2022,motif_avoidance,1,,C,1151
Q8WTC7_9CNID_Somermeyer_2022,novelty,2,,,12461
Q8WTC7_9CNID_Somermeyer_2022,fragility_aware,2,"8,16,27,29,35,40,42,55,56,59,61,62,63,65,66,67,68,69,70,72,74,82,83,84,85,89,92,94,96,100,103,104,108,110,112,121,127,143,145,146,148,150,152,161,165,168,170,179,181,183,185,196,203,205,217,218,222,224,226",,8853
Q8WTC7_9CNID_Somermeyer_2022,motif_avoidance,2,,C,11462
Q8WTC7_9CNID_Somermeyer_2022,novelty,3,,,24102
Q8WTC7_9CNID_Somermeyer_2022,fragility_aware,3,"8,16,27,29,35,40,42,55,56,59,61,62,63,65,66,67,68,69,70,72,74,82,83,84,85,89,92,94,96,100,103,104,108,110,112,121,127,143,145,146,148,150,152,161,165,168,170,179,181,183,185,196,203,205,217,218,222,224,226",,16363
Q8WTC7_9CNID_Somermeyer_2022,motif_avoidance,3,,C,21879
Q8WTC7_9CNID_Somermeyer_2022,novelty,5,,,32188
Q8WTC7_9CNID_Somermeyer_2022,fragility_aware,5,"8,16,27,29,35,40,42,55,56,59,61,62,63,65,66,67,68,69,70,72,74,82,83,84,85,89,92,94,96,100,103,104,108,110,112,121,127,143,145,146,148,150,152,161,165,168,170,179,181,183,185,196,203,205,217,218,222,224,226",,20646
Q8WTC7_9CNID_Somermeyer_2022,motif_avoidance,5,,C,28727
SPG1_STRSG_Wu_2016,novelty,1,,,76
SPG1_STRSG_Wu_2016,fragility_aware,1,267,,57
SPG1_STRSG_Wu_2016,motif_avoidance,1,,C,72
SPG1_STRSG_Wu_2016,novelty,2,,,2167
SPG1_STRSG_Wu_2016,fragility_aware,2,267,,1112
SPG1_STRSG_Wu_2016,motif_avoidance,2,,C,1947
SPG1_STRSG_Wu_2016,novelty,3,,,28186
SPG1_STRSG_Wu_2016,fragility_aware,3,267,,7739
SPG1_STRSG_Wu_2016,motif_avoidance,3,,C,24044
SPG1_STRSG_Wu_2016,novelty,5,,,149360
SPG1_STRSG_Wu_2016,fragility_aware,5,267,,7739
SPG1_STRSG_Wu_2016,motif_avoidance,5,,C,121656
